(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
Língua dinka	A língua dinka ou tal como é escrito nessa língua, é uma língua nilo-saariana falada pelo povo dinka, um dos maiores e mais influentes povos do sul do Sudão. Com 2-3 milhões de falantes, o dinka constitui-se de cinco dialetos principais. Jaang também é um termo usado para designar todas as variantes da língua. O dialeto de Rek tonj é considerado o "padrão" ou variedade de maior prestígio.
Língua elamita	O elamita é uma língua morta que era falada pelos antigos elamitas. Foi a língua oficial do Império Persa do século VI ao IV a.C. Os registros escritos mais recentes do idioma datam da conquista do Império Persa por Alexandre, o Grande.
Língua ewe	A língua éwé ou ewe (Eʋegbe) é uma das Línguas kwa falada por cerca de três milhões de pessoas, principalmente em Gana, Togo e em Benim. ewe é parte de um grupo de línguas relacionadas comumente chamado Gbe, estendendo-se da Gana oriental à Nigéria ocidental. Outras línguas Gbe incluem Fon e Aja. Como outras línguas Gbe, Ewe é uma língua tonal.
Língua fenícia	A Língua fenícia era falada originalmente na região do litoral do Mediterrâneo oriental conhecida como Fenícia pelos gregos e latinos, como Pūt pelos Egípcios antigos, como Canaan no próprio Fenício, em hebreu e em aramaico.
Língua fidjiana	O fidjiano ou fijiano é uma língua austronésia falada nas Ilhas Fidji.
Língua gaélica escocesa	A língua gaélica escocesa (Gàidhlig na h-Albann) chegou à Escócia no século V d.C., quando os celtas provenientes do norte da Irlanda se assentaram na costa ocidental, levando uma variedade do gaélico que substituiu a antiga língua dos pictos falada na região até então (daí a semelhança com o gaélico irlandês e da Ilha de Man).
Língua georgiana	O georgiano (, transl. kartuli ena) é a língua oficial da Geórgia, país do Cáucaso.
Língua guzerate	O guzerate, guzeráti ou gujaráti (ગુજરાતી , Gudjarātī) é uma língua indo-ariana e um dos 22 idiomas oficiais da Índia, além de ser considerada uma língua minoritária do Paquistão. Cerca de 46 milhões de pessoas falam o guzerate, o que o faz a 23a língua mais falada no mundo. Destes, aproximadamente 45,5 milhões vivem na Índia. É a língua principal do estado indiano do Guzerate, bem como dos territórios federais adjacentes de Damão e Diu e Dadrá e Nagar-Aveli. É também o idioma da numerosa comunidade guzerate de Bombaim.
Língua gótica	A língua gótica (*gutiska razda), sendo uma língua germânica, faz parte da família de línguas indo-europeias, constituindo de maneira atestada a mais antiga das línguas germânicas, apesar de não ter tido nenhum descendente moderno. Os mais antigos documentos em língua gótica datam do século IV.
Língua hauçá	O haúça, hauçá ou haússa (هَوُسَ) é a língua chádica com maior número de falantes, falada como primeira língua por 24 milhões de pessoas e como segunda língua por mais de 15 milhões de pessoas.
Língua havaiana	O havaiano (havaiano: ‘Ōlelo Hawai'i) é a língua ancestral do povo indígena das ilhas do Havai, os havaianos, um povo polinésio. O havaiano, junto com o inglês, é uma língua oficial no estado do Havai. É digna de nota por possuir um pequeno inventário de fonemas (ver o alfabeto havaiano, abaixo), como muitas das suas primas polinésias. Digno de especial nota é o facto de que originalmente não distinguia entre /t/ e /k/; há poucas línguas desprovidas dessa distinção. Uma pronúncia /t/ desse fonema era comum na extremidade Kauai da cadeia de ilhas, e uma pronúncia /k/ na extremidade oposta (ilha de Havai). Depois de Kamehameha, o Grande, natural da ilha de Havai, ter conquistado todas as ilhas, a pronúncia /k/ venceu a pronúncia /t/, embora esta se mantenha em Niihau.
Língua haúça	O haúça, hauçá ou haússa (هَوُسَ) é a língua chádica com maior número de falantes, falada como primeira língua por 24 milhões de pessoas e como segunda língua por mais de 15 milhões de pessoas.
Língua herero	Hereró (Otjiherero) é uma língua nígero-congolesa, falada pelos hererós na Namíbia e no Botsuana. Existem cerca de 133 mil falantes dessa língua no mundo.
Língua hereró	Hereró (Otjiherero) é uma língua nígero-congolesa, falada pelos hererós na Namíbia e no Botsuana. Existem cerca de 133 mil falantes dessa língua no mundo.
Língua hindi	O hindi (ou híndi) é uma língua indo-ariana, derivada do sânscrito e falada por 70% dos indianos, principalmente no norte, centro e oeste da Índia. É parte de uma continuidade dialetal da família indo-ariana.
Língua hmong	A língua hmong (RPA: Hmoob) ou mong (RPA: Moob) é o nome comum dado a um grupo de dialetos do ramo hmongico ocidental (chuanqiandiano), braço das línguas hmong-mien, falados pelos hmong de Sichuan, Yunnan, Guizhou, Guangxi, norte do Vietnã, Tailândia, e Laos. O número total de falantes dessa língua no mundo é estimado em mais de 4 milhões. Esses são os dois principais dialetos falados pelos hmong americanos. Apesar de mutuamente inteligíveis, esses dialetos diferem tanto em léxico quanto em certos aspectos da fonologia. Por exemplo, o mong verde não possui o som aspirado /m/ e o hmong branco possui uma terceira vogal nasalizada /ã/. O termo "hmong" é usado para incluir tanto o hmong der quanto o mong leng, embora alguns estudiosos sugerem um acordo para diferenciar esses dialetos, como: h'mong, mhong, ou (h)mong.
Língua hopi	A língua Hopi pertence ao grupo Uto-Azteca e é falada pelos Hopis, uma nação índia do nordeste do Arizona, E.U.A., embora muitos membros desta tribo actualmente não a conheçam profundamente, falando apenas inglês. No entanto, apesar do uso desta língua (como de muitas línguas minoritárias dos EUA) ter diminuído durante o século XX, a língua Hopi está a recuperar o seu papel social: muitas crianças Hopi estão a aprender a língua, foi publicado um dicionário completo Hopi-inglês e um grupo chamado "Projecto de Alfabetização Hopi" promove a língua.
Língua híndi	O hindi (ou híndi) é uma língua indo-ariana, derivada do sânscrito e falada por 70% dos indianos, principalmente no norte, centro e oeste da Índia. É parte de uma continuidade dialetal da família indo-ariana.
Língua iacuta	Língua iacuta, Sakha, or Yakut, é uma das Línguas turcomanas com cerca de 460 mil falantes falada na Iacútia (ou República Sakha), Sibéria, Rússia pelos Iacutos
Língua ioruba	O iorubá ou ioruba (Èdè Yorùbá, "idioma iorubá") é um idioma da família linguística nigero-congolesa, e é falado ao sul do Saara, na África, dentro de um contínuo cultural-lingüístico, por 22 milhões a 30 milhões de falantes.
Língua iorubá	O iorubá ou ioruba (Èdè Yorùbá, "idioma iorubá") é um idioma da família linguística nigero-congolesa, e é falado ao sul do Saara, na África, dentro de um contínuo cultural-lingüístico, por 22 milhões a 30 milhões de falantes.
Língua irlandesa antiga	Irlandês antigo (em irlandês moderno: An tSean-Ghaeilge) é o nome dado à forma mais antiga da língua irlandesa ou, ainda, das línguas goidélicas, mas quais existem textos escritos extensos. A língua foi usada do século VI ao X, quando deu lugar ao irlandês médio.
Língua iídiche	O iídiche (ייִדיש, transl.yídish ou אידיש, transl. ídish, do alemão jüdisch [deutsch], "judeu", "judaico") é uma língua da família indo-européia, pertencente ao subgrupo germânico, tendo sido adotada por judeus, particularmente na Europa Central e na Europa Oriental, no segundo milênio, que a escrevem utilizando os caracteres hebraicos.
Língua khmer	A língua khmer ( , ) é o idioma oficial do Camboja, pertencente à família mon-khmer. É também chama de Cambojano, sendo a língua do povo ‘’’Khmer’’’.
Língua kinyarwanda	O kinyarwnada (também chamado de rwanda ou ruanda) é uma língua banta falada principalmente em Ruanda, onde é uma das línguas oficiais junto ao francês. O Kinyarwanda também é falado no sul de Uganda e no leste da República Democrática do Congo. O Kinyarwanda é um idioma inteligível com o kirundi e muito semelhante ao giha.
Língua ladino-dolomítica	O ladino dolomítico (ladin) constituiu-se de uma série de dialetos reto-românicos, unidos por estreita afinidade e falados por cerca de 30.000 pessoas no noroeste da Itália, na zona das montanhas Dolomitas, porção oriental do arco alpino - a chamada "ilha linguística ladino-dolomítica".
Língua laociana	Laociano, Lauciano, Lao ou Lau (ພາສາລາວ phaasaa laao) é a língua oficial do Laos. Trata-se de uma língua tonal derivada das línguas tais.
Língua letã	A língua letã ou simplesmente letão (latviešu valoda) é o idioma oficial da Letônia. É considerada por alguns lingüistas como uma das línguas indo-européias com maior número de elementos e estruturas conservadoras. Há cerca de 1,4 milhões de falantes nativos do idioma na Letônia e outros cerca de 150 mil fora desse país.
Língua lituana	A língua lituana é um idioma da família báltica, idioma oficial da Lituânia. É considerado uma das línguas indo-europeias mais arcaicas. Tem um número aproximado de quatro milhões de falantes e em lituano denomina-se Lietuvių kalba.
Língua luhya	‎ O luhya (também chamado luyia, luhia) é um grupo de línguas bantus faladas no oeste do Quênia pelo povo luhya que habita uma região localizada entre o Lago Victoria em Uganda e o Monte Elgon. O território dos luhya abrange Uganda, onde línguas aparentadas como o masaba e o grupo nyole são encontradas.
Língua malaiala	Nota: Malaiala não é malaio, que se fala na Malásia. O Malaiala, malayalam (മലയാളം) ou malabar é o idioma do estado de Kerala, no sul da Índia. É um dos 22 idiomas oficiais da Índia e é falado por aproximadamente 30 milhões de pessoas. As pessoas que falam o idioma são chamadas "malayali".
Língua mam	A língua mam é uma língua do ramo mameano das línguas maias. É falada pelo povo mam nas terras altas da Guatemala ocidental e em partes de Chiapas no México.
Língua mandarim	Mandarim (em chinês tradicional: 官話; chinês simplificado: 官话; pinyin: Guānhuà, literalmente "fala dos oficiais", ou ainda, em chinês tradicional: 北方话; chinês simplificado: 北方話, pinyin Běifānghuà, "dialetos do norte") é o nome dado a uma categoria de dialetos chineses aparentados, falados por toda a maior parte do norte e do sudoeste da China. Quando é considerado um idioma separado, como frequentemente é feito pela literatura acadêmica, o mandarim possui mais falantes do que qualquer outra língua.
Língua manesa	A língua manx, ou manês, é uma língua gaélica falada na ilha de Man. O último habitante desta ilha a usá-la como língua materna foi Ned Maddrell, um pescador falecido em 1974. No entanto, por esta altura muitos cidadãos da ilha já se tinham empenhado num projecto para fazer reviver a língua, aprendendo-a como segunda língua para ensinar à descendência. Os primeiros novos falantes nativos de manx (bilíngues em inglês) começaram agora a surgir, crianças educadas em Manx por pais não falantes nativos da língua, inteirando cerca de 300 falantes.
Língua maori	O maori é um idioma austronésio, falada pelos nativos da Nova Zelândia e das Ilhas Cook, no Pacífico. Até metade do século XIX era a língua predominante nessa região; hoje é falada por aproximadamente 100 mil pessoas. O idioma mais semelhante ao maori é o taitiano.
Língua marata	Marata (ou marati) é uma língua da Índia, falada principalmente em Maharashtra, por aproximadamente 90 milhões de pessoas. Pertence ao grupo de línguas indo-arianas, subgrupo das línguas indo-iranianas.
Língua moicana	O moicano é uma língua extinta do subgrupo algonquino oriental da família algonquina, que por sua vez é membro da família álgica.
Língua māori	O maori é um idioma austronésio, falada pelos nativos da Nova Zelândia e das Ilhas Cook, no Pacífico. Até metade do século XIX era a língua predominante nessa região; hoje é falada por aproximadamente 100 mil pessoas. O idioma mais semelhante ao maori é o taitiano.
